Treatment Title,Treatment Details,Treatment Stage,Treatment Type,Risk Category,Risk Location,Element Type,Risk Factor,Construction Scope,Associated Activity
Replace all openings required in floor slabs with precast  service openings.,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Avoid holes - consider alternatives to achieve design purposes.,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Cast in mesh in openings to reduce risk of person falling through.,,Preliminary Design,Reduce,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Reduce hole sizes.,,Preliminary Design,Reduce,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Group small floor openings together to create one large opening.,,Preliminary Design,Control by subsequent design ,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
"Locate floor openings away from passageways, work areas, and the structure perimeter.",,Preliminary Design,Control by subsequent design ,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Engage Structural engineer with architects to assist in design of handrail and guard elements.,,Preliminary Design,Inform,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Engage with contractors and temp. works at appointment.,,Preliminary Design,Inform,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Avoid low walls in circulation areas.,,Detail Design,Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Avoid hidden alcoves and offsets.,,Detail Design,Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Avoid trap hazards near openings.,,Detail Design,Reduce,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
"Design permanent grating in opening, to be installed when opening is created during construction.",,Detail Design,Control by subsequent design ,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
Specify guardrail systems around floor openings except at the entrance to stairways.,,Detail Design,Control by subsequent design ,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction
